group,time,survival
Low risk,234.2333333,0.7546343480587311
Low risk,234.5333333,0.7546343480587311
Low risk,234.6,0.7546343480587311
Low risk,239.1666667,0.7149167507924822
Low risk,239.2333333,0.7149167507924822
Low risk,241.3,0.7149167507924822
Low risk,247.0,0.7149167507924822
Low risk,251.8,0.6672556340729834
Low risk,252.1,0.6672556340729834
Low risk,253.0666667,0.6672556340729834
Low risk,256.8666667,0.6116509979002347
Low risk,258.1333333,0.6116509979002347
Low risk,263.6,0.6116509979002347
Low risk,264.6,0.6116509979002347
Low risk,264.7666667,0.6116509979002347
Low risk,265.9333333,0.6116509979002347
Low risk,267.2666667,0.6116509979002347
Low risk,268.9,0.6116509979002347
Low risk,269.0,0.6116509979002347
Low risk,269.3333333,0.6116509979002347
Low risk,275.2333333,0.6116509979002347
Low risk,291.1666667,0.6116509979002347
Medium risk,0.0,1.0
Medium risk,2.5333333330000003,1.0
Medium risk,5.433333332999999,1.0
Medium risk,7.8,0.992
Medium risk,15.36666667,0.984
Medium risk,22.46666667,0.976
Medium risk,28.5,0.968
Medium risk,28.83333333,0.96
Medium risk,30.06666667,0.952
Medium risk,33.8,0.952
Medium risk,36.4,0.9439322033898305
Medium risk,36.76666667,0.9358644067796611
Medium risk,40.43333333,0.9358644067796611
Medium risk,42.56666667,0.9277264554163598
Medium risk,47.03333333,0.9195885040530584
Medium risk,50.46666667,0.9195885040530584
Medium risk,51.96666667,0.9113778924097276
Medium risk,55.2,0.9031672807663966
Medium risk,56.93333333,0.8949566691230658
Medium risk,57.93333333,0.8949566691230658
Medium risk,61.6,0.8949566691230658
Medium risk,61.8,0.8949566691230658
Medium risk,62.8,0.8949566691230658
Medium risk,63.86666667,0.8949566691230658
Medium risk,64.93333333,0.886351316535344
Medium risk,65.5,0.8777459639476223
Medium risk,67.8,0.8691406113599005
Medium risk,70.06666667,0.8691406113599005
Medium risk,70.53333333,0.8691406113599005
Medium risk,73.13333333,0.8603614132653561
Medium risk,73.7,0.8515822151708117
Medium risk,74.1,0.8515822151708117
Medium risk,75.33333333,0.8515822151708117
Medium risk,77.66666667,0.8515822151708117
Medium risk,78.46666667,0.8425228299030371
Medium risk,78.6,0.8425228299030371
Medium risk,79.3,0.8425228299030371
Medium risk,80.66666667,0.8425228299030371
Medium risk,81.06666667,0.8331614651263367
Medium risk,83.13333333,0.8331614651263367
Medium risk,84.2,0.8236937212044465
Medium risk,86.06666667,0.8142259772825563
Medium risk,87.46666667,0.8142259772825563
Medium risk,87.83333333,0.8142259772825563
Medium risk,90.23333333,0.8045328108863354
Medium risk,91.06666667,0.8045328108863354
Medium risk,91.1,0.8045328108863354
Medium risk,94.23333333,0.8045328108863354
Medium risk,96.76666667,0.8045328108863354
Medium risk,98.7,0.8045328108863354
Medium risk,99.36666667,0.8045328108863354
Medium risk,99.4,0.7940843328228765
Medium risk,99.96666667,0.7836358547594175
Medium risk,101.9666667,0.7836358547594175
Medium risk,102.0333333,0.7836358547594175
Medium risk,104.4666667,0.7729011170229871
Medium risk,104.5333333,0.7729011170229871
Medium risk,108.0666667,0.7620151857973113
Medium risk,108.4333333,0.7620151857973113
Medium risk,111.0666667,0.7620151857973113
Medium risk,112.4,0.7620151857973113
Medium risk,112.9333333,0.7620151857973113
Medium risk,115.6,0.7620151857973113
Medium risk,118.2,0.7620151857973113
Medium risk,119.3333333,0.7620151857973113
Medium risk,122.1666667,0.7620151857973113
Medium risk,122.2,0.7620151857973113
Medium risk,122.5,0.7620151857973113
Medium risk,126.6333333,0.7620151857973113
Medium risk,135.33333330000002,0.7620151857973113
Medium risk,136.06666669999998,0.7620151857973113
Medium risk,139.43333330000002,0.7620151857973113
Medium risk,140.7666667,0.7620151857973113
Medium risk,140.8666667,0.7620151857973113
Medium risk,141.0333333,0.7620151857973113
Medium risk,143.0,0.7473610476089014
Medium risk,144.9666667,0.7327069094204915
Medium risk,145.5,0.7327069094204915
Medium risk,147.93333330000002,0.7327069094204915
Medium risk,148.0333333,0.7327069094204915
Medium risk,148.06666669999998,0.7327069094204915
Medium risk,149.3,0.7327069094204915
Medium risk,151.93333330000002,0.7327069094204915
Medium risk,153.83333330000002,0.7327069094204915
Medium risk,156.8,0.7327069094204915
Medium risk,157.8,0.7327069094204915
Medium risk,158.0333333,0.7327069094204915
Medium risk,162.7666667,0.7327069094204915
Medium risk,165.3666667,0.7327069094204915
Medium risk,168.2,0.7327069094204915
Medium risk,168.2666667,0.7129040199766945
Medium risk,171.6333333,0.7129040199766945
Medium risk,173.0333333,0.7129040199766945
Medium risk,173.83333330000002,0.7129040199766945
Medium risk,174.8,0.7129040199766945
Medium risk,175.9,0.7129040199766945
Medium risk,176.2666667,0.7129040199766945
Medium risk,176.6,0.7129040199766945
Medium risk,182.3333333,0.6883211227361189
Medium risk,183.9666667,0.6883211227361189
Medium risk,184.7666667,0.6883211227361189
Medium risk,187.0333333,0.6883211227361189
Medium risk,192.2,0.6883211227361189
Medium risk,193.7,0.6883211227361189
Medium risk,194.6,0.6883211227361189
Medium risk,198.3333333,0.6570337989753863
Medium risk,198.4333333,0.6570337989753863
Medium risk,201.4666667,0.6570337989753863
Medium risk,203.5333333,0.6224530727135239
Medium risk,203.7,0.6224530727135239
Medium risk,211.1333333,0.5858381860833166
Medium risk,220.9,0.5858381860833166
Medium risk,222.0333333,0.5858381860833166
Medium risk,222.2,0.5858381860833166
Medium risk,223.8333333,0.5407737102307538
Medium risk,226.0666667,0.5407737102307538
Medium risk,227.4666667,0.5407737102307538
Medium risk,229.3666667,0.5407737102307538
Medium risk,230.4666667,0.5407737102307538
Medium risk,230.5,0.5407737102307538
Medium risk,236.6333333,0.5407737102307538
Medium risk,237.1333333,0.5407737102307538
Medium risk,240.7,0.5407737102307538
Medium risk,242.5666667,0.5407737102307538
Medium risk,243.5,0.5407737102307538
Medium risk,244.2,0.5407737102307538
